"No New Relic Application ID configured, cannot continue with Cron Event reporting","Nessun ID Applicazione New Relic configurato, non è è possibile continuare con il report degli eventi Cron",module,Magento_NewRelicReporting
"The New Relic integration requires the newrelic-php5 agent, which is not installed. More 
                        information on installing the agent is available <a target=""_blank"" href=""%1"">here</a>.","L'integrazione con New Relic richiede l'agent newrelic-php5 che non è installato. 
Ulteriori informazioni su come installare l'agent è disponibile <a target=""_blank"" href=""%1"">qui</a>.",module,Magento_NewRelicReporting
"Now Shopping by","Ora acquista per",theme,frontend/Magento/luma
Previous,Precedente,theme,frontend/Magento/luma
Remove,Elimina,theme,frontend/Magento/luma
"Remove This Item","Rimuovi questo articolo",theme,frontend/Magento/luma
"Shop By","Naviga per",theme,frontend/Magento/luma
"Clear All","Cancella tutto",theme,frontend/Magento/luma
"Shopping Options","Opzioni di acquisto",theme,frontend/Magento/luma
"Welcome to %store_name","Benvenuto su %store_name",theme,frontend/Magento/luma
"Welcome to %store_name.","Benvenuto su %store_name.",theme,frontend/Magento/luma
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Per accedere al nostro sito, è necessario utilizzare queste credenziali durante il checkout o sulla pagina <a href=""%customer_url""> Mio Account</a>:",theme,frontend/Magento/luma
"Password you set when creating account","Password impostata durante la creazione dell'account",theme,frontend/Magento/luma
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Hai dimenticato la password dell'account? Clicca <a href=""%reset_url"">qui</a> per reimpostarla.",theme,frontend/Magento/luma
"When you sign in to your account, you will be able to:","Accedendo al tuo account, sarai in grado di:",theme,frontend/Magento/luma
"Quick Checkout","Conferma ordine rapido",theme,frontend/Magento/luma
"Proceed through checkout faster","Procedere velocemente attraverso la conferma dell'ordine",theme,frontend/Magento/luma
"Order Status","Stato Ordine",theme,frontend/Magento/luma
"Check the status of orders","Controlla lo stato degli ordini",theme,frontend/Magento/luma
"Manage Addresses","Gestisci Indirizzi",theme,frontend/Magento/luma
"Store alternative addresses","Indirizzi alternativi del negozio",theme,frontend/Magento/luma
"For shipping to multiple family members and friends","Per spedizione a più membri della famiglia e a più amici",theme,frontend/Magento/luma
"Order History","Cronologia ordine",theme,frontend/Magento/luma
"View past orders","Mostra ordini precedenti",theme,frontend/Magento/luma
Footer,"Piè di pagina",theme,frontend/Magento/luma
"About Us","Chi siamo",theme,frontend/Magento/luma
"Customer Service","Assistenza Clienti",theme,frontend/Magento/luma
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone""> %store_phone</a>",theme,frontend/Magento/luma
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Orari di apertura: <br/> <span class=""no-link"">%store_hours</span>.",theme,frontend/Magento/luma
"Credit memo for your %store_name order","Nota di credito per il tuo ordine su %store_name",theme,frontend/Magento/luma
"Thank you for your order from %store_name.","Grazie per il tuo ordine da %store_name.",theme,frontend/Magento/luma
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","È possibile controllare lo stato del tuo ordine accedendo <a href=""%account_url"">al tuo account</a>.",theme,frontend/Magento/luma
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Se hai domande sul tuo ordine, puoi inviare una email a <a href=""mailto:%store_email"">%store_email</a>.",theme,frontend/Magento/luma
"Your Credit Memo #%creditmemo_id for Order #%order_id","La tua nota di credito #%creditmemo_id per l'ordine #%order_id",theme,frontend/Magento/luma
"Billing Info","Informazioni di fatturazione",theme,frontend/Magento/luma
"Shipping Info","Informazioni di spedizione",theme,frontend/Magento/luma
"Payment Method","Metodo di pagamento",theme,frontend/Magento/luma
"Shipping Method","Metodo di Spedizione",theme,frontend/Magento/luma
"Update to your %store_name credit memo","Aggiornamento sulla tua nota di credito da %store_name",theme,frontend/Magento/luma
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Il tuo ordine #%increment_id è stato aggiornato allo stato di <strong>%order_status</strong>.",theme,frontend/Magento/luma
"Invoice for your %store_name order","Fattura per il tuo ordine su %store_name",theme,frontend/Magento/luma
"Your Invoice #%invoice_id for Order #%order_id","La fattura #%invoice_id per l'ordine #%order_id",theme,frontend/Magento/luma
"Update to your %store_name invoice","Aggiornamento sulla tua fattura da %store_name",theme,frontend/Magento/luma
"Your %store_name order confirmation","Conferma del tuo ordine su %store_name",theme,frontend/Magento/luma
"Once your package ships we will send you a tracking number.","Quando il pacco sarà spedito, ti invieremo il numero di tracking.",theme,frontend/Magento/luma
"Your Order <span class=""no-link"">#%increment_id</span>","Il tuo ordine <span class=""no-link"">#%increment_id</span>",theme,frontend/Magento/luma
"Placed on <span class=""no-link"">%created_at</span>","Effettuato il <span class=""no-link"">%created_at</span>",theme,frontend/Magento/luma
"Update to your %store_name order","Aggiornamento sul tuo ordine da %store_name",theme,frontend/Magento/luma
"Your %store_name order has shipped","Il tuo ordine su %store_name è stato spedito",theme,frontend/Magento/luma
"Your shipping confirmation is below. Thank you again for your business.","La conferma di spedizione è qua sotto. Grazie ancora per l'acquisto.",theme,frontend/Magento/luma
"Your Shipment #%shipment_id for Order #%order_id","La tua spedizione #%shipment_id per l'ordine #%order_id",theme,frontend/Magento/luma
"Update to your %store_name shipment","Aggiornamento sulla tua spedizione da %store_name",theme,frontend/Magento/luma
"New Relic Reporting Section","Sezione report New Relic",module,Magento_NewRelicReporting
"New Relic Reporting","Report New Relic",module,Magento_NewRelicReporting
General,Generale,module,Magento_NewRelicReporting
"Enable New Relic Integration","Abilita integrazione New Relic",module,Magento_NewRelicReporting
"New Relic API URL","API URL New Relic",module,Magento_NewRelicReporting
"Insights API URL","API URL Insights",module,Magento_NewRelicReporting
"Use %s to replace the account ID in the URL","Usa %s per sostituire l'ID account nell'URL",module,Magento_NewRelicReporting
"New Relic Account ID","Account ID New Relic",module,Magento_NewRelicReporting
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","""Hai bisogno di un account New Relic? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Clicca qui per averne uno",module,Magento_NewRelicReporting
"New Relic Application ID","Application ID New Relic",module,Magento_NewRelicReporting
"This can commonly be found at the end of the URL when viewing the APM after ""/applications/""","Questo può essere trovato comunemente alla fine dell'URL quando si visualizza l'APM dopo ""/applications/""",module,Magento_NewRelicReporting
"New Relic API Key","API Key New Relic",module,Magento_NewRelicReporting
"This is located by navigating to Events -> Deployments from the New Relic APM website","Si trova navigando in Eventi -> Deployments sul sito New Relic APM",module,Magento_NewRelicReporting
"Generated under Insights in Manage data -> API Keys -> Insert Keys","Generato in Insights in Manage data -> API Keys -> Insert Keys",module,Magento_NewRelicReporting
"New Relic Application Name","Nome Applicazione New Relic",module,Magento_NewRelicReporting
"This is located by navigating to Settings from the New Relic APM website","Si trova navigando in Impostazioni sul sito New Relic APM",module,Magento_NewRelicReporting
"Enable Cron","Abilita Cron",module,Magento_NewRelicReporting
"Account Dashboard","Dashboard Account",theme,frontend/Magento/luma
"Account Information","Informazioni Account",theme,frontend/Magento/luma
"Address Book",Rubrica,theme,frontend/Magento/luma
